Name,Titel,Anmerkungen,Reihe,Personen,Erscheinungsort: Verlag,Erscheinungsjahr,Auflage,Verlag,Address,Description,URL_WorldCat,Inhalt,TimeStamp,fshop,isoLand,iso2Sprache,Latitude,Longitude,WorldCat_ID,WorldCat_Link
The big book of classic fantasy. The ultimate collection.,The big book of classic fantasy. The ultimate collection.,Edited and with an introduction by Ann and Jeff VanderMeer.,,VanderMeer&comma;Ann; VanderMeer&comma;Jeff,New York: Vintage Crime/Black Lizard&comma;Vintage Books,2019,,Vintage Crime/Black Lizard&comma;Vintage Books,New York,<b>The big book of classic fantasy.</b> The ultimate collection.<br>New York: Vintage Crime/Black Lizard&comma;Vintage Books 2019. VanderMeer&comma;Ann; VanderMeer&comma;Jeff.,<a href="http://www.worldcat.org/oclc/1080251757" target="_blank">(OCoLC)1080251757</a>,INTRODUCTION / Ann and Jeff VanderMeer<br>THE QUEEN’S SON / Bettina von Arnim<br>HANS-MY-HEDGEHOG / Jacob and Wilhelm Grimm<br>THE STORY OF THE HARD NUT / E. T. A. Hoffmann<br>RIP VAN WINKLE / Washington Irving<br>THE LUCK OF THE BEAN-ROWS / Charles Nodier<br>TRANSFORMATION / Mary Wollstonecraft Shelley<br>THE NEST OF NIGHTINGALES / Théophile Gautier<br>THE FAIRYTALE ABOUT A DEAD BODY&comma;BELONGING TO NO ONE KNOWS WHOM / Vladimir Odoevsky<br>THE STORY OF THE GOBLINS WHO STOLE A SEXTON / Charles Dickens<br>THE NOSE / Nikolai Gogol<br>THE FACTS IN THE CASE OF M. VALDEMAR / Edgar Allan Poe<br>THE STORY OF JEON UNCHI / Anonymous<br>FEATHERTOP: A MORALIZED LEGEND / Nathaniel Hawthorne<br>MASTER ZACHARIUS / Jules Verne<br>THE FROST-KING: OR&comma;THE POWER OF LOVE / Louisa May Alcott<br>THE TARTARUS OF MAIDS / Herman Melville<br>THE MAGIC MIRROR / George MacDonald<br>THE DIAMOND LENS / Fitz-James O’Brien<br>GOBLIN MARKET / Christina Rossetti<br>THE WILL-O’-THE-WISPS ARE IN TOWN / Hans Christian Andersen<br>THE LEGEND OF THE PALE MAIDEN / Aleksis Kivi<br>LOOKING-GLASS HOUSE / Lewis Carroll<br>FURNICA&comma;OR THE QUEEN OF THE ANTS / Carmen Sylva<br>THE STORY OF IVÁN THE FOOL / Leo Tolstoy<br>THE GOOPHERED GRAPEVINE / Charles W. Chestnutt<br>THE BEE-MAN OF ORN / Frank R. Stockton<br>THE REMARKABLE ROCKET / Oscar Wilde<br>THE ENSOULED VIOLIN / H. P. Blavatskaya<br>THE DEATH OF ODJIGH / Marcel Schwob<br>THE TERRESTRIAL FIRE / Marcel Schwob<br>THE KINGDOM OF CARDS / Rabindranath Tagore<br>THE OTHER SIDE: A BRETON LEGEND / Count Eric Stanlislaus Stenbock<br>THE FULNESS OF LIFE / Edith Wharton<br>PRINCE ALBERIC AND THE SNAKE LADY / Vernon Lee<br>THE LITTLE ROOM / Madeline Yale Wynne<br>THE PLATTNER STORY / H. G. Wells<br>THE PRINCESS BALADINA—HER ADVENTURE / Willa Cather<br>THE RELUCTANT DRAGON / Kenneth Grahame<br>IKTOMI TALES / Zitkala-Ša<br>MARIONETTES / Louis Fréchette<br>DANCE OF THE COMETS: AN ASTRAL PANTOMIME IN TWO ACTS / Paul Scheerbart<br>THE WHITE PEOPLE / Arthur Machen<br>BLAMOL / Gustav Meyrink<br>GOBLINS: A LOGGING CAMP STORY / Louis Fréchette<br>SOWBREAD / Grazia Deledda<br>THE ANGRY STREET / G. K. Chesterton<br>THE AUNT AND AMABEL / E. Nesbit<br>SACRIFICE / Aleksey Remizov<br>THE PRINCESS STEEL / W. E. B. Du Bois<br>THE HUMP / Fernán Caballero<br>THE CELESTIAL OMNIBUS / E. M. Forster<br>THE LEGEND OF THE ICE BABIES / E. Pauline Johnson<br>THE LAST REDOUBT / William Hope Hodgson<br>JACK PUMPKINHEAD AND THE SAWHORSE / L. Frank Baum<br>THE PLANT MEN / Edgar Rice Burroughs<br>STRANGE NEWS FROM ANOTHER STAR / Hermann Hesse<br>THE METAMORPHOSIS / Franz Kafka<br>THE HOARD OF THE GIBBELINS / Lord Dunsany<br>THROUGH THE DRAGON GLASS / A. Merritt<br>DAVID BLAIZE AND THE BLUE DOOR / E. F. Benson<br>THE BIG BESTIARY OF MODERN LITERATURE / Franz Blei<br>THE ALLIGATOR WAR / Horacio Quiroga<br>FRIEND ISLAND / Francis Stevens<br>MAGIC COMES TO A COMMITTEE / Stella Benson<br>GRAMOPHONE OF THE AGES / Yefim Zozulya<br>JOIWIND / David Lindsay<br>SOUND IN THE MOUNTAIN / Maurice Renard<br>SENNIN / Ryūnosuke Akutagawa<br>KOSHTRA PIVRARCHA / E. R. Eddison<br>AT THE BORDER / Der Nister<br>THE MARVELOUS EXPLOITS OF PAUL BUNYAN / W. B. Laughead<br>TALKATIVE DOMOVOI / Aleksandr Grin<br>THE RATCATCHER / Aleksandr Grin<br>THE SHADOW KINGDOM / Robert E. Howard<br>THE MAN TRAVELING WITH THE BROCADE PORTRAIT / Edogawa Ranpo<br>A VISIT TO THE MUSEUM / Vladimir Nabokov<br>THE WATER SPRITE’S TALE / Karel Čapek<br>THE CAPITAL OF CAT COUNTRY / Lao She<br>COYOTE STORIES / Mourning Dove<br>UNCLE MONDAY / Zora Neale Hurston<br>ROSE-COLD&comma;MOON SKATER / María Teresa León<br>A NIGHT OF THE HIGH SEASON / Bruno Schulz<br>THE INFLUENCE OF THE SUN / Fernand Dumont<br>THE TOWN OF CATS / Hagiwara Sakutarō<br>THE DEBUTANTE / Leonora Carrington<br>THE JEWELS IN THE FOREST / Fritz Leiber<br>EVENING PRIMROSE / John Collier<br>THE COMING OF THE WHITE WORM / Clark Ashton Smith<br>THE MAN WHO COULD WALK THROUGH WALLS / Marcel Aymé<br>LEAF BY NIGGLE / J. R. R. Tolkien,2019,SVAut,USA,eng,40.7,-74,(OCoLC)1080251757,http://www.worldcat.org/oclc/1080251757
The nutcracker and the mouse king.,The nutcracker and the mouse king.,E.T.A. Hoffmann ; penerjemah : Intan Nurina Haryadi.,,Hoffmann&comma;E.T.A.; Haryadi&comma;Intan Nurina,Bandung: Qanita,2019,Cetakan 1,Qanita,Bandung,<b>The nutcracker and the mouse king.</b><br>Bandung: Qanita 2019. Cetakan 1 Hoffmann&comma;E.T.A.; Haryadi&comma;Intan Nurina.,<a href="http://www.worldcat.org/oclc/1107798694" target="_blank">(OCoLC)1107798694</a>,,2019,NM,IDN,ind,-6.95,107.56666666667,(OCoLC)1107798694,http://www.worldcat.org/oclc/1107798694
Щелкунчик и мышиный король. Shchelkunchik i myshinyĭ korolʹ. сказка. Skazka.,Щелкунчик и мышиный король. Shchelkunchik i myshinyĭ korolʹ. сказка. Skazka.,Э.Т.А. Гофман ; иллюстрации Aртуша Шайнера ; перевод с немецкого И. С. Татариновой. Ė.T.A Gofman ; illi︠u︡strat︠s︡ii Artus Scheiner ; perevod s nemet︠s︡kogo I.S. Tatarinovoĭ.,Malai︠a︡ kniga s istorieĭ,Hoffmann&comma;E.T.A.; Tatarinova&comma;I. S.; Scheiner&comma;Artuš,Moscow: Izdatelʹskiĭ dom Meshcheri︠a︡kova,2019,,Izdatelʹskiĭ dom Meshcheri︠a︡kova,Moscow,<b>Щелкунчик и мышиный король.</b> сказка.<br>Moscow: Izdatelʹskiĭ dom Meshcheri︠a︡kova 2019. Hoffmann&comma;E.T.A.; Tatarinova&comma;I. S.; Scheiner&comma;Artuš.,<a href="http://www.worldcat.org/oclc/1091629053" target="_blank">(OCoLC)1091629053</a>,,2019,NM,RUS,rus,55.755833333333,37.617777777778,(OCoLC)1091629053,http://www.worldcat.org/oclc/1091629053
胡桃鉗與老鼠王. Hu tao qian yu lao shu wang. 霍夫曼奇幻故事集 = Nussknacker und Mausekonig : und andere phantastische Geschichten. Huo fu man qi huan gu shi ji = Nussknacker und Mausekonig : und andere phantastische Geschichten.,胡桃鉗與老鼠王. Hu tao qian yu lao shu wang. 霍夫曼奇幻故事集 = Nussknacker und Mausekonig : und andere phantastische Geschichten. Huo fu man qi huan gu shi ji = Nussknacker und Mausekonig : und andere phantastische Geschichten.,ETA霍夫曼(E.T.A. Hoffmann)著 ; 楊夢茹譯. ETA huo fu man(E.T.A. Hoffmann) zhu ; yang meng ru yi.,Neo fiction<br>Xin.xiao shuo; 18.,Huo fu man; Hoffmann&comma;E.T.A.; Yang&comma;Mengru,Taipei: shang zhou chu ban; [kein Erscheinungsort]: ying shu gai man qun dao shang jia ting chuan mei gu fen you xian gong si cheng bang fen gong si fa xing ,; lian he fa xing gu fen you xian gong si.,2018.12,Chu ban.,shang zhou chu ban; ying shu gai man qun dao shang jia ting chuan mei gu fen you xian gong si cheng bang fen gong si fa xing ,; lian he fa xing gu fen you xian gong si.,Taipei; [kein Erscheinungsort],<b>胡桃鉗與老鼠王.</b> 霍夫曼奇幻故事集 = Nussknacker und Mausekonig : und andere phantastische Geschichten.<br>Taipei: shang zhou chu ban; [kein Erscheinungsort]: ying shu gai man qun dao shang jia ting chuan mei gu fen you xian gong si cheng bang fen gong si fa xing ,; lian he fa xing gu fen you xian gong si. 2018.12. Chu ban. Huo fu man; Hoffmann&comma;E.T.A.; Yang&comma;Mengru.,<a href="http://www.worldcat.org/oclc/1105616900" target="_blank">(OCoLC)1105616900</a>,,2019,NM,TWN,chi,25.047777777778,121.53194444444,(OCoLC)1105616900,http://www.worldcat.org/oclc/1105616900
Alle Jahre wieder. Die schönsten Weihnachtsklassiker für Kinder zum Vorlesen und ersten Selberlesen.,Alle Jahre wieder. Die schönsten Weihnachtsklassiker für Kinder zum Vorlesen und ersten Selberlesen.,E.T.A. Hoffmann&comma;Hans Christian Andersen&comma;Frances Hodgson Burnett.,,Hoffmann&comma;E.T.A.; Andersen&comma;Hans Christian; Burnett&comma;Frances Hodgson; et al.,Würzburg: Arena,2018,,Arena,Würzburg,<b>Alle Jahre wieder.</b> Die schönsten Weihnachtsklassiker für Kinder zum Vorlesen und ersten Selberlesen.<br>Würzburg: Arena 2018. Hoffmann&comma;E.T.A.; Andersen&comma;Hans Christian; Burnett&comma;Frances Hodgson; et al.,<a href="http://www.worldcat.org/oclc/1035859427" target="_blank">(OCoLC)1035859427</a>,,2018,SVAut,DEU,ger,49.794444444444,9.9294444444444,(OCoLC)1035859427,http://www.worldcat.org/oclc/1035859427
Aventures De La Nuit De Saint-sylvestre.,Aventures De La Nuit De Saint-sylvestre.,,,Hoffmann&comma;E.T.A.,Paris: HACHETTE LIVRE - BNF,2018,,HACHETTE LIVRE - BNF,Paris,<b>Aventures De La Nuit De Saint-sylvestre.</b><br>Paris: HACHETTE LIVRE - BNF 2018. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/1081432944" target="_blank">(OCoLC)1081432944</a>,,2018,AS,FRA,fre,48.856944444444,2.3513888888889,(OCoLC)1081432944,http://www.worldcat.org/oclc/1081432944
Cascanueces y el rey ratón.,Cascanueces y el rey ratón.,E.T.A. Hoffmann ; ilustraciones de Maite Gurrutxaga ; traducción de Isabel Hernández.,,Hoffmann&comma;E.T.A.; Gurrutxaga&comma;Maite; Hernández&comma;Isabel,Madrid: Nordica Libros,2018,Primera edición: octubre de 2018,Nordica Libros,Madrid,<b>Cascanueces y el rey ratón.</b><br>Madrid: Nordica Libros 2018. Primera edición: octubre de 2018 Hoffmann&comma;E.T.A.; Gurrutxaga&comma;Maite; Hernández&comma;Isabel.,<a href="http://www.worldcat.org/oclc/1100385910" target="_blank">(OCoLC)1100385910</a>,,2018,NM,ESP,spa,40.416666666666664,-3.7025,(OCoLC)1100385910,http://www.worldcat.org/oclc/1100385910
Casse-Noisette.,Casse-Noisette.,Ernst Theodor Amadeus Hoffmann ; ill. par Roberto Innocenti ; traduit du texte original allemand par Ralph Manheim&comma;traduit de l'anglais par Jenny Ladoix.,,Hoffmann&comma;E.T.A.; Innocenti&comma;Roberto; Manheim&comma;Ralph; et al.,Paris: Gallimard-Jeunesse,2018,,Gallimard-Jeunesse,Paris,<b>Casse-Noisette.</b><br>Paris: Gallimard-Jeunesse 2018. Hoffmann&comma;E.T.A.; Innocenti&comma;Roberto; Manheim&comma;Ralph; et al.,<a href="http://www.worldcat.org/oclc/1082434862" target="_blank">(OCoLC)1082434862</a>,,2018,NM,FRA,fre,48.856944444444,2.3513888888889,(OCoLC)1082434862,http://www.worldcat.org/oclc/1082434862
Contes Fantastiques. Tome I. Signor Formica. Doge Et Dogaresse. Le Conseiller Krespel.,Contes Fantastiques. Tome I. Signor Formica. Doge Et Dogaresse. Le Conseiller Krespel.,,,Hoffmann&comma;E.T.A.,Paris: HACHETTE LIVRE - BNF,2018,,HACHETTE LIVRE - BNF,Paris,<b>Contes Fantastiques. Tome I. Signor Formica. Doge Et Dogaresse. Le Conseiller Krespel.</b><br>Paris: HACHETTE LIVRE - BNF 2018. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/1082967402" target="_blank">(OCoLC)1082967402</a>,,2018,a2a,FRA,fre,48.856944444444,2.3513888888889,(OCoLC)1082967402,http://www.worldcat.org/oclc/1082967402
Contes Fantastiques. Tome Ii. Bonheur Au Jeu. Mademoiselle De Scud Ry. La Vampire.,Contes Fantastiques. Tome Ii. Bonheur Au Jeu. Mademoiselle De Scud Ry. La Vampire.,,,Hoffmann&comma;E.T.A.,Paris: HACHETTE LIVRE - BNF,2018,,HACHETTE LIVRE - BNF,Paris,<b>Contes Fantastiques. Tome Ii. Bonheur Au Jeu. Mademoiselle De Scud Ry. La Vampire.</b><br>Paris: HACHETTE LIVRE - BNF 2018. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/1083028187" target="_blank">(OCoLC)1083028187</a>,,2018,a2a,FRA,fre,48.856944444444,2.3513888888889,(OCoLC)1083028187,http://www.worldcat.org/oclc/1083028187
