Name,Titel,Anmerkungen,Reihe,Personen,Erscheinungsort: Verlag,Erscheinungsjahr,Auflage,Verlag,Address,Description,URL_WorldCat,Inhalt,TimeStamp,fshop,isoLand,iso2Sprache,Latitude,Longitude,WorldCat_ID,WorldCat_Link
Das Fräulein von Scuderi. 2 Erzählungen.,Das Fräulein von Scuderi. 2 Erzählungen.,E.T.A. Hoffmann. [Ill. von Regine Röder].,Kompass-Bücherei; Bd. 364,Hoffmann&comma;E.T.A.,Berlin: Verl. Neues Leben,1988,,Verl. Neues Leben,Berlin,<b>Das Fräulein von Scuderi.</b> 2 Erzählungen.<br>Berlin: Verl. Neues Leben 1988. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/74963536" target="_blank">(OCoLC)74963536</a>,,1988,FS,DEU,ger,52.516666666667,13.383333333333,(OCoLC)74963536,http://www.worldcat.org/oclc/74963536
Das Fräulein von Scuderi. Erzählung aus d. Zeitalter Ludwig d. XIV. ; mit e. Nachw.,Das Fräulein von Scuderi. Erzählung aus d. Zeitalter Ludwig d. XIV. ; mit e. Nachw.,E.T.A. Hoffmann.,Reclam-Basis-Bibliothek deutsche Literatur Reclams Universal-Bibliothek Nr. 25,Hoffmann&comma;E.T.A.,Stuttgart: Reclam,1988&comma;[1988],[Nachdr.],Reclam,Stuttgart,<b>Das Fräulein von Scuderi.</b> Erzählung aus d. Zeitalter Ludwig d. XIV. ; mit e. Nachw.<br>Stuttgart: Reclam 1988&comma;[1988]. [Nachdr.] Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/722220410" target="_blank">(OCoLC)722220410</a>,,1988,FS,DEU,ger,48.7775,9.18,(OCoLC)722220410,http://www.worldcat.org/oclc/722220410
Das fremde Kind.,Das fremde Kind.,E.T.A. Hoffmann ; Illustrationen Carl Hoffmann.,,Hoffmann&comma;E.T.A.; Hoffmann&comma;Carl,Hanau: Dausien,1988,,Dausien,Hanau,<b>Das fremde Kind.</b><br>Hanau: Dausien 1988. Hoffmann&comma;E.T.A.; Hoffmann&comma;Carl.,<a href="http://www.worldcat.org/oclc/60868883" target="_blank">(OCoLC)60868883</a>,,1988,FK,DEU,ger,50.132777777777775,8.916944444444445,(OCoLC)60868883,http://www.worldcat.org/oclc/60868883
Das fremde Kind. Märchen.,Das fremde Kind. Märchen.,Von E.T.A. Hoffmann.,,Hoffmann&comma;E.T.A.,Zürich: Juris[-Verlag],[1988],,Juris[-Verlag],Zürich,<b>Das fremde Kind.</b> Märchen.<br>Zürich: Juris[-Verlag] [1988]. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/637070581" target="_blank">(OCoLC)637070581</a>,,1988,FK,CHE,ger,47.37444444444444,8.54111111111111,(OCoLC)637070581,http://www.worldcat.org/oclc/637070581
Das Majorat.,Das Majorat.,E.T.A. Hoffmann ; mit farbigen Illustrationen von Monika Wurmdobler.,Insel Taschenbuch; 1085,Hoffmann&comma;E.T.A.,Frankfurt am Main: Insel Verlag,1988,,Insel Verlag,Frankfurt am Main,<b>Das Majorat.</b><br>Frankfurt am Main: Insel Verlag 1988. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/20157608" target="_blank">(OCoLC)20157608</a>,,1988,MJ,DEU,ger,50.113611111111,8.6797222222222,(OCoLC)20157608,http://www.worldcat.org/oclc/20157608
Der goldne Topf. Ein Märchen aus der neuen Zeit.,Der goldne Topf. Ein Märchen aus der neuen Zeit.,E.T.A. Hoffmann ; mit einem Nachwort von Konrad Nussbächer.,Universal-Bibliothek; Nr. 101 [2],Hoffmann&comma;E.T.A.; Hoffmann&comma;Ernst Theodor Amadäus; Nussbächer&comma;Konrad,Stuttgart: Reclam,1988,,Reclam,Stuttgart,<b>Der goldne Topf.</b> Ein Märchen aus der neuen Zeit.<br>Stuttgart: Reclam 1988. Hoffmann&comma;E.T.A.; Hoffmann&comma;Ernst Theodor Amadäus; Nussbächer&comma;Konrad.,<a href="http://www.worldcat.org/oclc/442589504" target="_blank">(OCoLC)442589504</a>,,1988,GT,DEU,ger,48.7775,9.18,(OCoLC)442589504,http://www.worldcat.org/oclc/442589504
Der Sandmann.,Der Sandmann.,E.T.A. Hoffmann ; Textkritik&comma;Edition&comma;Kommentar von Ulrich Hohoff.,Quellen und Forschungen zur Sprach- und Kulturgeschichte der germanischen Voelker; 87,Hoffmann&comma;E.T.A.; Hohoff&comma;Ulrich,Berlin&comma;New York: De Gruyter,1988,,De Gruyter,Berlin&comma;New York,<b>Der Sandmann.</b><br>Berlin&comma;New York: De Gruyter 1988. Hoffmann&comma;E.T.A.; Hohoff&comma;Ulrich.,<a href="http://www.worldcat.org/oclc/494404532" target="_blank">(OCoLC)494404532</a>,,1988,SM,DEU,ger,52.516666666667,13.383333333333,(OCoLC)494404532,http://www.worldcat.org/oclc/494404532
Der smaragdene Spiegel. E. Ausw. für junge Leser.,Der smaragdene Spiegel. E. Ausw. für junge Leser.,E.T.A. Hoffmann.,Kleine Bibliothek,Hoffmann&comma;E.T.A.,Berlin: Kinderbuchverl.,1988,2. Aufl.,Kinderbuchverl.,Berlin,<b>Der smaragdene Spiegel.</b> E. Ausw. für junge Leser.<br>Berlin: Kinderbuchverl. 1988. 2. Aufl. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/256842037" target="_blank">(OCoLC)256842037</a>,,1988,a2a,DEU,ger,52.516666666667,13.383333333333,(OCoLC)256842037,http://www.worldcat.org/oclc/256842037
Die Bergwerke zu Falun und zwei andere wunderliche Geschichten.,Die Bergwerke zu Falun und zwei andere wunderliche Geschichten.,E.T.A. Hoffmann. [Ill. von Elena Boariu-Opris].,,Hoffmann&comma;E.T.A.,Bucureşti: Ion Creanga Verl.,1988,,Ion Creanga Verl.,Bucureşti,<b>Die Bergwerke zu Falun und zwei andere wunderliche Geschichten.</b><br>Bucureşti: Ion Creanga Verl. 1988. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/248518583" target="_blank">(OCoLC)248518583</a>,,1988,a2a,ROU,ger,44.4,26.083333333333,(OCoLC)248518583,http://www.worldcat.org/oclc/248518583
Die Brautwahl. Eine Geschichte&comma;in der mehrere ganz unwahrscheinliche Abenteuer vorkommen.,Die Brautwahl. Eine Geschichte&comma;in der mehrere ganz unwahrscheinliche Abenteuer vorkommen.,E.T.A. Hoffmann ; mit farbigen illustrationen von Monika Wurmdobler.,Insel Taschenbuch; 1124,Hoffmann&comma;E.T.A.,Frankfurt am Main: Insel Verlag,1988,,Insel Verlag,Frankfurt am Main,<b>Die Brautwahl.</b> Eine Geschichte&comma;in der mehrere ganz unwahrscheinliche Abenteuer vorkommen.<br>Frankfurt am Main: Insel Verlag 1988. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/19677964" target="_blank">(OCoLC)19677964</a>,,1988,BR,DEU,ger,50.113611111111,8.6797222222222,(OCoLC)19677964,http://www.worldcat.org/oclc/19677964
Die Elixiere des Teufels ; Lebens-Ansichten des Katers Murr.,Die Elixiere des Teufels ; Lebens-Ansichten des Katers Murr.,Nachwort von Walter Müller-Seidel und Anmerkungen von Wolfgang Kron.,,Hoffmann&comma;E.T.A.; Kron&comma;Wolfgang; Müller-Seidel&comma;Walter,Darmstadt: Wissenschaftliche Buchgesellschaft,1988,,Wissenschaftliche Buchgesellschaft,Darmstadt,<b>Die Elixiere des Teufels ; Lebens-Ansichten des Katers Murr.</b><br>Darmstadt: Wissenschaftliche Buchgesellschaft 1988. Hoffmann&comma;E.T.A.; Kron&comma;Wolfgang; Müller-Seidel&comma;Walter.,<a href="http://www.worldcat.org/oclc/863357738" target="_blank">(OCoLC)863357738</a>,,1988,a2a,DEU,ger,49.866666666667,8.65,(OCoLC)863357738,http://www.worldcat.org/oclc/863357738
Die Elixiere des Teufels ; Werke 1814-1816.,Die Elixiere des Teufels ; Werke 1814-1816.,E.T.A. Hoffmann ; Herausgegeben von Hartmut Steinicke unter Mitarbeit von Gerhard Allroggen.,Sämtliche Werke in sechs Bänden / E.T.A. Hoffmann Bibliothek deutscher Klassiker; 37,Hoffmann&comma;E.T.A.; Steinecke&comma;Hartmut; Allroggen&comma;Gerhard; et al.,Frankfurt am Main: Deutscher Klassiker Verlag,©1988,1. Aufl.,Deutscher Klassiker Verlag,Frankfurt am Main,<b>Die Elixiere des Teufels ; Werke 1814-1816.</b><br>Frankfurt am Main: Deutscher Klassiker Verlag ©1988. 1. Aufl. Hoffmann&comma;E.T.A.; Steinecke&comma;Hartmut; Allroggen&comma;Gerhard; et al.,<a href="http://www.worldcat.org/oclc/38665149" target="_blank">(OCoLC)38665149</a>,,1988,ET,DEU,ger,50.113611111111,8.6797222222222,(OCoLC)38665149,http://www.worldcat.org/oclc/38665149
Die Elixiere des Teufels.,Die Elixiere des Teufels.,E.T.A. Hoffmann.,Moewig Bd. Nr. 2554 : Edition Goldkäfer,Hoffmann&comma;E.T.A.,Rastatt: Moewig,1988,,Moewig,Rastatt,<b>Die Elixiere des Teufels.</b><br>Rastatt: Moewig 1988. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/74975914" target="_blank">(OCoLC)74975914</a>,,1988,ET,DEU,ger,48.857222222222,8.2030555555556,(OCoLC)74975914,http://www.worldcat.org/oclc/74975914
Die Elixiere des Teufels. Nachgelassene Papiere d. Bruders Medardus&comma;e. Kapuziners ; hrsg. von d. Verf. d. Fantasiestücke in Callots Manier.,Die Elixiere des Teufels. Nachgelassene Papiere d. Bruders Medardus&comma;e. Kapuziners ; hrsg. von d. Verf. d. Fantasiestücke in Callots Manier.,E.T.A. Hoffmann. Mit Ill. von Hugo Steiner-Prag.,Insel-Taschenbuch 304,Hoffmann&comma;E.T.A.,Frankfurt am Main: Insel-Verl.,1988&comma;[1988],[7. Aufl.],Insel-Verl.,Frankfurt am Main,<b>Die Elixiere des Teufels.</b> Nachgelassene Papiere d. Bruders Medardus&comma;e. Kapuziners ; hrsg. von d. Verf. d. Fantasiestücke in Callots Manier.<br>Frankfurt am Main: Insel-Verl. 1988&comma;[1988]. [7. Aufl.] Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/75058920" target="_blank">(OCoLC)75058920</a>,,1988,ET,DEU,ger,50.113611111111,8.6797222222222,(OCoLC)75058920,http://www.worldcat.org/oclc/75058920
Die Elixiere des Teufels. Nachgelassene Papiere des Bruders Medardus eines Kapuziners.,Die Elixiere des Teufels. Nachgelassene Papiere des Bruders Medardus eines Kapuziners.,E.T.A. Hoffmann ; herausg. von Wolfgang Nehring.,Universal-Bibliothek; 1924.,Hoffmann&comma;E.T.A.; Nehring&comma;Wolfgang,Stuttgart: Reclam,1988,,Reclam,Stuttgart,<b>Die Elixiere des Teufels.</b> Nachgelassene Papiere des Bruders Medardus eines Kapuziners.<br>Stuttgart: Reclam 1988. Hoffmann&comma;E.T.A.; Nehring&comma;Wolfgang.,<a href="http://www.worldcat.org/oclc/810750423" target="_blank">(OCoLC)810750423</a>,,1988,ET,DEU,ger,48.7775,9.18,(OCoLC)810750423,http://www.worldcat.org/oclc/810750423
Die Elixiere des Teufels. Werke 1814-1816.,Die Elixiere des Teufels. Werke 1814-1816.,E.T.A. Hoffmann ; hrsg. von Hartmut Steinecke unter Mitarbeit von Gerhard Allroggen.,Sämtliche Werke / E.T.A. Hoffmann; 2; 2 Bibliothek deutscher Klassiker; 37,Hoffmann&comma;E.T.A.; Steinecke&comma;Hartmut,Frankfurt am Main: Deutscher Klassiker Verlag,1988,,Deutscher Klassiker Verlag,Frankfurt am Main,<b>Die Elixiere des Teufels.</b> Werke 1814-1816.<br>Frankfurt am Main: Deutscher Klassiker Verlag 1988. Hoffmann&comma;E.T.A.; Steinecke&comma;Hartmut.,<a href="http://www.worldcat.org/oclc/462796442" target="_blank">(OCoLC)462796442</a>,,1988,ET,DEU,ger,50.113611111111,8.6797222222222,(OCoLC)462796442,http://www.worldcat.org/oclc/462796442
Die Vision auf dem Schlachtfelde bei Dresden.,Die Vision auf dem Schlachtfelde bei Dresden.,E.T.A. Hoffmann ; Nachdruck der Erstausgabe mit einem Nachwort von Hartmut Steinecke.,Edition Corvey Seltene und wertvolle Werke aus der Fürstlichen Bibliothek Corvey in Nachdrucken,Hoffmann&comma;E.T.A.; Hoffmann&comma;E.T.A.; Hoffmann&comma;E.T.A.; et al.,Stuttgart: Belser,1988,,Belser,Stuttgart,<b>Die Vision auf dem Schlachtfelde bei Dresden.</b><br>Stuttgart: Belser 1988. Hoffmann&comma;E.T.A.; Hoffmann&comma;E.T.A.; Hoffmann&comma;E.T.A.; et al.,<a href="http://www.worldcat.org/oclc/19932740" target="_blank">(OCoLC)19932740</a>,,1988,VS,DEU,ger,48.7775,9.18,(OCoLC)19932740,http://www.worldcat.org/oclc/19932740
Dziadek do Orzechów.,Dziadek do Orzechów.,E.T.A. Hoffmann ; ilustowała Bożena Truchanowska.,,Hoffmann&comma;E.T.A.,Warszawa: Młodżieżowa agencja wydawn.,©1988,Wyd. 9.,Młodżieżowa agencja wydawn.,Warszawa,<b>Dziadek do Orzechów.</b><br>Warszawa: Młodżieżowa agencja wydawn. ©1988. Wyd. 9. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/22253705" target="_blank">(OCoLC)22253705</a>,,1988,NM,POL,pol,52.23,21.011111111111113,(OCoLC)22253705,http://www.worldcat.org/oclc/22253705
E.T.A. Hoffmann's Nutcracker. The problem solved : a new reading of Tchaikowsky's score : the full original E.T.A. Hoffmann story told correctly : the old scenario&comma;which Tchaikowsky didn't much like&comma;GONE FOR EVER MORE!.,E.T.A. Hoffmann's Nutcracker. The problem solved : a new reading of Tchaikowsky's score : the full original E.T.A. Hoffmann story told correctly : the old scenario&comma;which Tchaikowsky didn't much like&comma;GONE FOR EVER MORE!.,,Brian Brenner's ballets; programme 8,Brenner&comma;Brian; Tchaikovsky&comma;Peter Ilich; Hoffmann&comma;E.T.A.,London: Shane,©1988,,Shane,London,<b>E.T.A. Hoffmann's Nutcracker.</b> The problem solved : a new reading of Tchaikowsky's score : the full original E.T.A. Hoffmann story told correctly : the old scenario&comma;which Tchaikowsky didn't much like&comma;GONE FOR EVER MORE!.<br>London: Shane ©1988. Brenner&comma;Brian; Tchaikovsky&comma;Peter Ilich; Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/264948120" target="_blank">(OCoLC)264948120</a>,,1988,NM,GBR,eng,51.507222222222,-0.1275,(OCoLC)264948120,http://www.worldcat.org/oclc/264948120
El cascanueces y el rey de los ratones.,El cascanueces y el rey de los ratones.,Il. por Jesús@Gabán ; [trad.: Celia y Rafael Lupiani ; introd.: Juan Tébar].,,Hoffmann&comma;E.T.A.; Gabán&comma;Jesús.; Lupiani&comma;Celia,Madrid: Anaya,1988,2. ed.,Anaya,Madrid,<b>El cascanueces y el rey de los ratones.</b><br>Madrid: Anaya 1988. 2. ed. Hoffmann&comma;E.T.A.; Gabán&comma;Jesús.; Lupiani&comma;Celia.,<a href="http://www.worldcat.org/oclc/248520625" target="_blank">(OCoLC)248520625</a>,,1988,NM,ESP,spa,40.416666666666664,-3.7025,(OCoLC)248520625,http://www.worldcat.org/oclc/248520625
El cascanueces y el rey de los ratones.,El cascanueces y el rey de los ratones.,E.T.A. Hoffmann. Prólogo y trad. de Carmen Bravo-Villasante.,Los jóvenes bibliófilos 3,Hoffmann&comma;E.T.A.; Bravo-Villasante&comma;Carmen,Palma de Mallorca: de Olañeta,1988,,de Olañeta,Palma de Mallorca,<b>El cascanueces y el rey de los ratones.</b><br>Palma de Mallorca: de Olañeta 1988. Hoffmann&comma;E.T.A.; Bravo-Villasante&comma;Carmen.,<a href="http://www.worldcat.org/oclc/76504649" target="_blank">(OCoLC)76504649</a>,,1988,NM,ESP,spa,39.566666666667,2.6497222222222,(OCoLC)76504649,http://www.worldcat.org/oclc/76504649
El niño extraño.,El niño extraño.,E.T.A. Hoffmann ; prólogo y traducción de Carmen Bravo-Villasante.,Los jóvenes bibliófilos. El lago del bosque 4,Hoffmann&comma;E.T.A.; Bravo-Villasante&comma;Carmen,Palma de Mallorca: Olañeta,[1988],,Olañeta,Palma de Mallorca,<b>El niño extraño.</b><br>Palma de Mallorca: Olañeta [1988]. Hoffmann&comma;E.T.A.; Bravo-Villasante&comma;Carmen.,<a href="http://www.worldcat.org/oclc/434555544" target="_blank">(OCoLC)434555544</a>,,1988,FK,ESP,spa,39.566666666667,2.6497222222222,(OCoLC)434555544,http://www.worldcat.org/oclc/434555544
El tonelero de Nuremberg.,El tonelero de Nuremberg.,E. Th. A. Hoffmann. Il. de Alicia Silva. Prologo de Fernando Emmerich.,Collecion Club de lectores ninos; 79.,Hoffmann&comma;E.T.A.; Emmerich&comma;Fernando,Santiago: Bello,1988,,Bello,Santiago,<b>El tonelero de Nuremberg.</b><br>Santiago: Bello 1988. Hoffmann&comma;E.T.A.; Emmerich&comma;Fernando.,<a href="http://www.worldcat.org/oclc/258565678" target="_blank">(OCoLC)258565678</a>,,1988,MM,CHL,spa,-33.45,-70.666666666667,(OCoLC)258565678,http://www.worldcat.org/oclc/258565678
Gesammelte Werke in Einzelausgaben. 9 ; Schriften zur Musik. Singspiele.,Gesammelte Werke in Einzelausgaben. 9 ; Schriften zur Musik. Singspiele.,E.T.A. Hoffmann. [Textrevision u. Anm. von Hans-Joachim Kruse].,,Hoffmann&comma;E.T.A.; Kruse&comma;Hans-Joachim,Berlin: Aufbau Verlag,1988,1. Aufl.,Aufbau Verlag,Berlin,<b>Gesammelte Werke in Einzelausgaben.</b> 9 ; Schriften zur Musik. Singspiele.<br>Berlin: Aufbau Verlag 1988. 1. Aufl. Hoffmann&comma;E.T.A.; Kruse&comma;Hans-Joachim.,<a href="http://www.worldcat.org/oclc/916177809" target="_blank">(OCoLC)916177809</a>,,1988,a1,DEU,ger,52.516666666667,13.383333333333,(OCoLC)916177809,http://www.worldcat.org/oclc/916177809
ha-Nesikhah Brambilah. Maḥrozet agadot min ha-Romanṭiḳah ha-germanit.,ha-Nesikhah Brambilah. Maḥrozet agadot min ha-Romanṭiḳah ha-germanit.,Tirgemah mi-germanit ṿe-hosifah aḥarit davar Ilanah Hamerman.,,Hoffmann&comma;E.T.A.,Tel Aviv: ʻAm ʻoved,1988,,ʻAm ʻoved,Tel Aviv,<b>ha-Nesikhah Brambilah.</b> Maḥrozet agadot min ha-Romanṭiḳah ha-germanit.<br>Tel Aviv: ʻAm ʻoved 1988. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/221953124" target="_blank">(OCoLC)221953124</a>,Ernst Theodor Amadeus Hoffman&comma;Prinzessin Brambilla<br>Novalis&comma;Hyazinth un Rosenblütchen&comma;aus: Die Lehrlinge zu Sais<br>Joseph von Eichendorff&comma;Die Zauberei im Herbste<br>Clements Brentano&comma;Das Märchen von dem Myrtenfräulein<br>Adalbert von Chamisso&comma;Peter Schlemihls wundersame Geschichte.,1988,PB,ISR,heb,32.08,34.78,(OCoLC)221953124,http://www.worldcat.org/oclc/221953124
Intégrale des contes et récits. [1] ; Les élixirs du Diable ; papiers laissés après sa mort par le frère Médard&comma;capucin / texte français par Madeleine Laval ; introd. par Jacques Haumont.,Intégrale des contes et récits. [1] ; Les élixirs du Diable ; papiers laissés après sa mort par le frère Médard&comma;capucin / texte français par Madeleine Laval ; introd. par Jacques Haumont.,E.T.A. Hoffmann ; sous la dir. d'Albert Béguin et Madeleine Laval.,Intégrale des contes et récits; 1.,Hoffmann&comma;E.T.A.; Laval&comma;Madeleine; Haumont&comma;Jacques,Paris: Phébus,1988,,Phébus,Paris,<b>Intégrale des contes et récits.</b> [1] ; Les élixirs du Diable ; papiers laissés après sa mort par le frère Médard&comma;capucin / texte français par Madeleine Laval ; introd. par Jacques Haumont.<br>Paris: Phébus 1988. Hoffmann&comma;E.T.A.; Laval&comma;Madeleine; Haumont&comma;Jacques.,<a href="http://www.worldcat.org/oclc/715393807" target="_blank">(OCoLC)715393807</a>,,1988,a1,FRA,fre,48.856944444444,2.3513888888889,(OCoLC)715393807,http://www.worldcat.org/oclc/715393807
Intégrale des contes et récits. [11] ; Le chat Murr ; roman / texte français par Madeleine Laval ; introd. par Jean-Luc Steinmetz.,Intégrale des contes et récits. [11] ; Le chat Murr ; roman / texte français par Madeleine Laval ; introd. par Jean-Luc Steinmetz.,E.T.A. Hoffmann ; sous la dir. d'Albert Béguin et Madeleine Laval.,Intégrale des contes et récits; 11.,Hoffmann&comma;E.T.A.; Laval&comma;Madeleine; Steinmetz&comma;Jean-Luc,Paris: Phébus,1988,,Phébus,Paris,<b>Intégrale des contes et récits.</b> [11] ; Le chat Murr ; roman / texte français par Madeleine Laval ; introd. par Jean-Luc Steinmetz.<br>Paris: Phébus 1988. Hoffmann&comma;E.T.A.; Laval&comma;Madeleine; Steinmetz&comma;Jean-Luc.,<a href="http://www.worldcat.org/oclc/715278968" target="_blank">(OCoLC)715278968</a>,,1988,a1,FRA,fre,48.856944444444,2.3513888888889,(OCoLC)715278968,http://www.worldcat.org/oclc/715278968
Klein Zaches genannt Zinnober. E. Märchen.,Klein Zaches genannt Zinnober. E. Märchen.,E.T.A. Hoffmann. Mit Radierungen von Renate Sendler-Peters.,Insel-Taschenbuch 777,Hoffmann&comma;E.T.A.,Frankfurt am Main: Insel-Verl.,1988&comma;[1988],[2. Aufl.],Insel-Verl.,Frankfurt am Main,<b>Klein Zaches genannt Zinnober.</b> E. Märchen.<br>Frankfurt am Main: Insel-Verl. 1988&comma;[1988]. [2. Aufl.] Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/75057407" target="_blank">(OCoLC)75057407</a>,,1988,KZ,DEU,ger,50.113611111111,8.6797222222222,(OCoLC)75057407,http://www.worldcat.org/oclc/75057407
Lebensansichten des Katers Murr. Nebst fragmentar. Biographie d. Kapellmeisters Johannes Kreisler in zufälligen Makulaturbl. ; mit Anm.,Lebensansichten des Katers Murr. Nebst fragmentar. Biographie d. Kapellmeisters Johannes Kreisler in zufälligen Makulaturbl. ; mit Anm.,E.T.A. Hoffmann.,Insel-Taschenbuch 168,Hoffmann&comma;E.T.A.,Frankfurt am Main: Insel,1988&comma;[1988],[7. Aufl.],Insel,Frankfurt am Main,<b>Lebensansichten des Katers Murr.</b> Nebst fragmentar. Biographie d. Kapellmeisters Johannes Kreisler in zufälligen Makulaturbl. ; mit Anm.<br>Frankfurt am Main: Insel 1988&comma;[1988]. [7. Aufl.] Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/75001652" target="_blank">(OCoLC)75001652</a>,,1988,LM,DEU,ger,50.113611111111,8.6797222222222,(OCoLC)75001652,http://www.worldcat.org/oclc/75001652
Lebens-Ansichten des Katers Murr. Nebst fragmentarischer Biographie des Kapellmeisters Johannes Kreisler in zufälligen Makulaturblättern.,Lebens-Ansichten des Katers Murr. Nebst fragmentarischer Biographie des Kapellmeisters Johannes Kreisler in zufälligen Makulaturblättern.,E.T.A. Hoffmann. Mit Anh. u. Nachw. hrsg. von Hartmut Steinecke.,Reclams Universal-Bibliothek Nr. 153,Hoffmann&comma;E.T.A.,Stuttgart: Reclam,1988,[Nachdr.],Reclam,Stuttgart,<b>Lebens-Ansichten des Katers Murr.</b> Nebst fragmentarischer Biographie des Kapellmeisters Johannes Kreisler in zufälligen Makulaturblättern.<br>Stuttgart: Reclam 1988. [Nachdr.] Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/75023818" target="_blank">(OCoLC)75023818</a>,,1988,LM,DEU,ger,48.7775,9.18,(OCoLC)75023818,http://www.worldcat.org/oclc/75023818
Le chat Murr.,Le chat Murr.,Hoffmann. Première trad. intégrale par Albert Béguin.,Collection L'imaginaire Gallimard; 54,Hoffmann&comma;E.T.A.; Béguin&comma;Albert,Paris: Gallimard,1988,,Gallimard,Paris,<b>Le chat Murr.</b><br>Paris: Gallimard 1988. Hoffmann&comma;E.T.A.; Béguin&comma;Albert.,<a href="http://www.worldcat.org/oclc/954892207" target="_blank">(OCoLC)954892207</a>,,1988,LM,FRA,fre,48.856944444444,2.3513888888889,(OCoLC)954892207,http://www.worldcat.org/oclc/954892207
Le chat Murr. Roman.,Le chat Murr. Roman.,E.T.A. Hoffmann ; texte français par Madeleine Laval ; introd. de Jean-Luc Steinmetz.,Verso&comma;(0180-927X),Hoffmann&comma;E.T.A.; Laval&comma;Madeleine; Steinmetz&comma;Jean-Luc,Paris: Phébus,1988,,Phébus,Paris,<b>Le chat Murr.</b> Roman.<br>Paris: Phébus 1988. Hoffmann&comma;E.T.A.; Laval&comma;Madeleine; Steinmetz&comma;Jean-Luc.,<a href="http://www.worldcat.org/oclc/19696711" target="_blank">(OCoLC)19696711</a>,,1988,LM,FRA,fre,48.856944444444,2.3513888888889,(OCoLC)19696711,http://www.worldcat.org/oclc/19696711
Los hermanos de San Serapión.,Los hermanos de San Serapión.,E.T.A. Hoffmann; introducción&comma;Juan Tébar; traducción&comma;Celia y Rafael Lupiani; ilustración&comma;Bertall y Paul Gavarni.,Laurín,Hoffmann&comma;E.T.A.; Lupiani&comma;Celia; Lupiani&comma;Rafael; et al.,Madrid: Anaya,1988,1a. ed.,Anaya,Madrid,<b>Los hermanos de San Serapión.</b><br>Madrid: Anaya 1988. 1a. ed. Hoffmann&comma;E.T.A.; Lupiani&comma;Celia; Lupiani&comma;Rafael; et al.,<a href="http://www.worldcat.org/oclc/434274080" target="_blank">(OCoLC)434274080</a>,V. II : 399 p.,1988,SB,ESP,spa,40.416666666666664,-3.7025,(OCoLC)434274080,http://www.worldcat.org/oclc/434274080
Los hermanos de San Serapión I.,Los hermanos de San Serapión I.,E.T.A. Hoffmann. Übers. v. Calia y Rafael Lupiani. Ill. v. Bertall y Paul Gavarni. Introduc. de Juan Tébar.,Laurin,Hoffmann&comma;E.T.A.,Madrid: Anaya,1988,,Anaya,Madrid,<b>Los hermanos de San Serapión I.</b><br>Madrid: Anaya 1988. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/742610676" target="_blank">(OCoLC)742610676</a>,,1988,SB,ESP,spa,40.416666666666664,-3.7025,(OCoLC)742610676,http://www.worldcat.org/oclc/742610676
Märchen.,Märchen.,E.T.A. Hoffmann.,Taschenbücher / [La spiga languages]; 2,Hoffmann&comma;E.T.A.,Mailand: La spiga languages(IS),©1999,,La spiga languages(IS),Mailand,<b>Märchen.</b><br>Mailand: La spiga languages(IS) ©1999. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/898723708" target="_blank">(OCoLC)898723708</a>,,1988,a2a,ITA,ger,45.466944444444,9.19,(OCoLC)898723708,http://www.worldcat.org/oclc/898723708
Märchen und Erzählungen.,Märchen und Erzählungen.,E.T.A. Hoffmann.,Bibliothek der Weltliteratur,Hoffmann&comma;E.T.A.,Berlin: Aufbau-Verlag,1988,8. Aufl.,Aufbau-Verlag,Berlin,<b>Märchen und Erzählungen.</b><br>Berlin: Aufbau-Verlag 1988. 8. Aufl. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/31775194" target="_blank">(OCoLC)31775194</a>,Ritter Gluck<br>Don Juan<br>Der goldne Topf<br>Die Geschichte vom verlornen Spiegelbilde<br>Der Sandmann<br>Meister Martin der Küfner und seine Gesellen<br>Das Fräulein von Scuderi<br>Klein Zaches genannt Zinnober<br>Die Brautwahl<br>Prinzessin Brambilla<br>Des Vetters Eckfenster.,1988,a2a,DEU,ger,52.516666666667,13.383333333333,(OCoLC)31775194,http://www.worldcat.org/oclc/31775194
